CityEconomy,RecoverTime,Loss,CommunicationMethod,VictimEducation,VictimIncome,VictimAge,VictimSex,SpecialDate,VictimOccupation
FirstTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult50To60,Female,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult40To50,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult40To50,Female,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious100kTo1000k,illegalOnline,college,Medium,Adult40To50,Female,Short,ProfessionalTechnical
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
SecondTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Female,Short,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,legalOnline,majorCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
ThirdTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ThirdTier,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ThirdTier,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,Manufacturing
ThirdTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
SecondTier,Short,Medium1kTo10k,offlineCommunication,primarySchool,Low,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,Short,HeadsofEnterprises
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,illegalOnline,middleSchool,Medium,Adult30To40,Male,Long,Manufacturing
SecondTier,Short,Serious100kTo1000k,financialExchange,middleSchool,Medium,Adult40To50,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,offlineCommunication,college,Medium,Adult30To40,Female,Long,HeadsofEnterprises
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult50To60,Male,Long,HeadsofEnterprises
Developed,Short,Serious10kTo100k,financialExchange,middleSchool,Medium,Adult50To60,Female,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,masterDegree,Medium,Adult30To40,Female,Short,LegalProfessionals
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult40To50,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Long,SocialProductionLifeService
FirstTier,Short,Medium100To1k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Long,Manufacturing
ThirdTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,offlineCommunication,highSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
FirstTier,Long,Serious100kTo1000k,financialExchange,college,Low,Adult30To40,Male,Short,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Low,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Female,Long,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
Developed,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
ThirdTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult50To60,Male,Long,Manufacturing
Developed,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,Clerical
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Female,Short,SocialProductionLifeService
Developed,Short,Low0To100,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
Developed,Short,Serious10kTo100k,legalOnlineAbroad,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,vocationalCollege,Low,Adult50To60,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,financialExchange,college,Medium,Adult30To40,Male,Long,Manufacturing
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Female,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Medium,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
ModeratelyDeveloped,Medium,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult20To30,Female,Short,ProfessionalTechnical
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,illegalOnline,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,middleSchool,Low,Teenagers,Male,Long,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
SecondTier,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Long,Manufacturing
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,financialExchange,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Low,Adult30To40,Male,Medium,Manufacturing
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,HeadsofPartyStateOrgans
FirstTier,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,primarySchool,Low,Adult20To30,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,Long,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Long,Manufacturing
SecondTier,Short,SeriousGreaterThan10000k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult40To50,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
SecondTier,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult40To50,Female,Long,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult40To50,Female,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
FirstTier,Short,Low0To100,offlineCommunication,college,Medium,Adult30To40,Female,Short,SocialProductionLifeService
ThirdTier,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
FirstTier,Short,Serious10kTo100k,financialExchange,college,Medium,Adult40To50,Female,Long,ProfessionalTechnical
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Medium,Adult50To60,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,legalOnline,highSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,primarySchool,Low,Adult40To50,Female,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Long,Medium1kTo10k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,highSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ThirdTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Long,Manufacturing
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,High,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Low,Adult50To60,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Long,Serious10kTo100k,illegalOnline,majorCollege,Medium,Adult30To40,Female,Short,Manufacturing
FirstTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,offlineCommunication,primarySchool,Medium,Adult50To60,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,financialExchange,middleSchool,Medium,Adult50To60,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Short,Clerical
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Medium,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Medium,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,legalOnline,college,Medium,Adult40To50,Male,Short,ProfessionalTechnical
ModeratelyDeveloped,Long,Medium1kTo10k,offlineCommunication,majorCollege,Low,Adult20To30,Male,Short,SocialProductionLifeService
ThirdTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,HeadsofPartyStateOrgans
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,Medium,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,Clerical
Developed,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult40To50,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Medium,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,masterDegree,High,Adult50To60,Male,Short,ProfessionalTechnical
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,Short,Manufacturing
FirstTier,Long,Serious10kTo100k,illegalOnline,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,Manufacturing
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,college,Medium,Adult40To50,Female,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,college,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Medium,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ThirdTier,Medium,Serious100kTo1000k,traditionalTelephoneCommunication,primarySchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Female,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Short,Clerical
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,Long,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ThirdTier,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult60To70,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Female,Long,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,financialExchange,masterDegree,Medium,Adult50To60,Male,Short,ProfessionalTechnical
SecondTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Low,Adult30To40,Female,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ThirdTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,highSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult50To60,Male,Short,ProfessionalTechnical
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Female,Long,ProfessionalTechnical
ModeratelyDeveloped,Medium,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult50To60,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,legalOnlineAbroad,primarySchool,Medium,Adult50To60,Female,Short,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,illegalOnline,college,Medium,Adult40To50,Female,Long,SocialProductionLifeService
Developed,Short,Serious10kTo100k,legalOnlineAbroad,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
ThirdTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
ThirdTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Medium,Manufacturing
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult30To40,Male,Short,ProfessionalTechnical
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,Manufacturing
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,Long,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult40To50,Female,Short,ProfessionalTechnical
FirstTier,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult30To40,Male,Long,HeadsofEnterprises
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,Manufacturing
SecondTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Medium,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,noEducationExperience,Low,Adult60To70,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,illegalOnline,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Short,Manufacturing
FirstTier,Long,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
ThirdTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,ProfessionalTechnical
Developed,Short,Serious10kTo100k,illegalOnline,majorCollege,Medium,Adult40To50,Male,Short,HeadsofPartyStateOrgans
ModeratelyDeveloped,Long,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Female,Long,ProfessionalTechnical
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Medium,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult50To60,Female,Long,SocialProductionLifeService
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Male,Long,SocialProductionLifeService
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
